,titles,author,prices,formats
300,Heal. Grow. Love.,Pierre Alex Jeanty,£10.73,Paperback
301,Ashes To Admin,Evie King,£11.15,Paperback
302,Convenience Store Woman,Sayaka Murata,£13.46,Paperback
303,Man's Search For Meaning,Viktor E Frankl,£25.48,Paperback
304,"Faith, Hope and Carnage",Nick Cave,£19.06,Hardback
305,BAO,Erchen Chang,£15.99,Hardback
306,Ottolenghi SIMPLE,Yotam Ottolenghi,£47.01,Hardback
307,Babi Yar,A. Anatoli,£9.95,Hardback
308,Twisted Tales: Charming Collection 12 Novel Treasury (Disney),,£8.26,Paperback
309,The Gilded Cage (The Prison Healer Book 2),Lynette Noni,£10.64,Paperback
310,Meow,M E Owmeow,£15.11,Paperback
311,Before We Were Strangers,Renee Carlino,£56.94,Paperback
312,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 7,Mo Xiang Tong Xiu,£9.79,Paperback
313,Body By Breath,Jill Miller,£12.45,Hardback
314,Crown of Midnight (Miniature Character Collection),Sarah J. Maas,£6.42,Paperback
315,Archer's Voice,Mia Sheridan,£9.99,Paperback
316,Slough House,Mick Herron,£31.57,Paperback
317,A Court of Mist and Fury,Sarah J. Maas,£39.18,Paperback
318,"""Cause Unknown""",Ed Dowd,£20.73,Hardback
319,Berserk Deluxe Volume 2,Kentaro Miura,£46.49,Hardback
320,Chain of Thorns,Cassandra Clare,£11.99,Hardback
321,The Witcher Boxed Set,Andrzej Sapkowski,£8.39,Paperback
322,Equal Rites,Terry Pratchett,£15.11,Hardback
323,Kindred,Octavia E. Butler,£15.11,Paperback
324,"Vagabond (VIZBIG Edition), Vol. 12",Takehiko Inoue,£21.05,Paperback
325,"Vagabond (VIZBIG Edition), Vol. 3",Takehiko Inoue,£19.56,Paperback
326,The Greatness Mindset,Lewis Howes,£12.79,Paperback
327,Wisdom of the Oracle Divination Cards,Colette Baron-Reid,£7.99,Cards
328,Letting Go,David R. Hawkins,£22.16,Paperback
329,One True Loves,Taylor Jenkins Reid,£8.27,Paperback
330,Cobalt Red,Siddharth Kara,£18.60,Hardback
331,Letters To Milena,Franz Kafka,£23.98,Paperback
332,The Original Rider Waite Tarot Deck,A.E. Waite,£3.78,Cards
333,Unreasonable Hospitality,Will Guidara,£13.44,Hardback
334,The Metamorphosis,Franz Kafka,£10.84,Paperback
335,Die With Zero,Bill Perkins,£8.50,Paperback
336,The Things You Can See Only When You Slow Down,Haemin Sunim,£12.84,Paperback
337,Where Is the Green Sheep?,Judy Horacek,£11.73,Board book
338,Quiet,Susan Cain,£10.88,Paperback
339,Never Split the Difference,Chris Voss,£13.51,Paperback
340,The Virgin Suicides,Jeffrey Eugenides,£12.29,Paperback
341,8 Rules of Love,Jay Shetty,£16.17,Hardback
342,SINISTER SPRING: Murder and Mystery from the Queen of Crime,Agatha Christie,£16.10,Hardback
343,Talk To Me In Korean Level 1 (downloadable Audio Files Included),Talktomeinkorean Talktomeinkorean,£11.75,Paperback
344,Come as You Are: Revised and Updated,Emily Nagoski,£11.85,Paperback
345,"Bungo Stray Dogs, Vol. 8 (light novel)",Kafka Asagiri,£24.93,Paperback
346,Rascal Does Not Dream of a Lost Singer (light novel),Hajime Kamoshida,£25.59,Paperback
347,The Serpent and the Wings of Night,Carissa Broadbent,£10.74,Hardback
348,Scaling People,Claire Hughes Johnson,£17.64,Hardback
349,Searching Brightness,Paul Binding,£16.60,Paperback
350,The Art Of Seduction,Robert Greene,£10.73,Paperback
351,The Menopause,Deirdre Lundy,£16.38,Paperback
352,The Years - WINNER OF THE 2022 NOBEL PRIZE IN LITERATURE,Annie Ernaux,£18.98,Paperback
353,Travellers to Unimaginable Lands,Dasha Kiper,£4.99,Hardback
354,Two Weeks Notice,Amy Porterfield,£9.19,Hardback
355,Messi (Ultimate Football Heroes - the No. 1 football series),Matt & Tom Oldfield,£6.99,Paperback
356,My Year of Rest and Relaxation,Ottessa Moshfegh,£92.35,Paperback
357,Six of Crows,Leigh Bardugo,£13.56,Paperback
358,Wotakoi: Love Is Hard for Otaku Complete Manga Box Set,Fujita,£15.72,Paperback
359,Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 18,Rifujin Na Magonote,£12.47,Paperback
360,House of Earth and Blood ( Crescent City ),Sarah Maas,£9.99,Paperback
361,What to Do When You Worry Too Much,Dawn Huebner,£52.35,Paperback
362,Heir of Fire (Miniature Character Collection),Sarah J. Maas,£9.98,Paperback
363,Bitter Root Hardcover Omnibus,David F. Walker,£13.20,Hardback
364,This is How You Lose the Time War,Amal El-Mohtar,£16.27,Paperback
365,The Last Tale of the Flower Bride,Roshani Chokshi,£8.99,Hardback
366,How to Hear God,Pete Greig,£8.99,Paperback
367,Belladonna,Adalyn Grace,£16.27,Hardback
368,The House in the Cerulean Sea,Tj Klune,£25.48,Paperback
369,Breasts and Eggs,Mieko Kawakami,£36.19,Paperback
370,The Song of Achilles,Madeline Miller,£14.98,Hardback
371,The Earth Transformed,Professor Peter Frankopan,£6.29,Hardback
372,Berserk Deluxe Volume 3,Kentaro Miura,£34.75,Hardback
373,Guards! Guards!,Terry Pratchett,£7.99,Hardback
374,The Cruel Prince (The Folk of the Air),Holly Black,£12.18,Paperback
375,Designing Data-Intensive Applications,Martin Kleppmann,£7.27,Paperback
376,Loathe To Love You,Ali Hazelwood,£10.49,Paperback
377,Beartown,Fredrik Backman,£7.97,Paperback
378,"Good Girl, Bad Blood",Holly Jackson,£22.79,Paperback
379,It Starts with Us,Colleen Hoover,£9.99,Hardback
380,How to Talk to Anyone,Leil Lowndes,£6.58,Paperback
381,The Lives We Actually Have,Kate Bowler,£17.75,Hardback
382,Warbreaker,Brandon Sanderson,£13.20,Paperback
383,"Beautiful World, Where Are You",Sally Rooney,£8.94,Paperback
384,Old God's Time,Sebastian Barry,£10.70,Hardback
385,The Woman Destroyed,Simone de Beauvoir,£10.16,Paperback
386,Powerless,Elsie Silver,£18.48,Paperback
387,Women Who Run with the Wolves,Clarissa Pinkola Estes,£12.64,Paperback
388,In Order To Live,Yeonmi Park,£9.98,Paperback
389,The Feminist Killjoy Handbook,Sara Ahmed,£15.68,Hardback
390,The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Philippa Perry,£9.19,Paperback
391,The Dinosaur's Diary,Julia Donaldson,£10.14,Paperback
392,The Complete MAUS,Art Spiegelman,£15.28,Paperback
393,The Brothers Karamazov,Fyodor Dostoyevsky,£17.99,Paperback
394,Howl's Moving Castle,Diana Wynne Jones,£8.99,Paperback
395,Wandering Souls,Cecile Pin,£13.78,Hardback
396,The Patriarchs,Angela Saini,£11.79,Hardback
397,All the Light We Cannot See,Anthony Doerr,£19.61,Paperback
398,APA 7th Manual Made Easy,Appearance Publishers,£18.00,Paperback
399,Climate,Whitney Hanson,£11.81,Paperback
400,Una luz en la llama/ A Light in the Flame,Jennifer Armentrout,£8.98,Paperback
401,A Dictionary of Color Combinations,,£6.89,Paperback
402,Sword Art Online 26 (light novel),Reki Kawahara,£10.11,Paperback
403,"Chainsaw Man, Vol. 10",Tatsuki Fujimoto,£9.00,Paperback
404,"Chainsaw Man, Vol. 9",Tatsuki Fujimoto,£15.02,Paperback
405,Maybe You Should Talk to Someone,Lori Gottlieb,£50.23,Paperback
406,Getting to Yes,Roger Fisher,£10.11,Paperback
407,Ramadan Reflections,Aliyah Umm Raiyaan,£11.49,Paperback
408,Amygdala,Sam Fennah,£12.04,Hardback
409,Cribsheet,Emily Oster,£11.25,Paperback
410,"Piano Exam Pieces 2023 & 2024, ABRSM Grade 1",ABRSM,£11.95,Sheet music
411,Life,Donna Ashworth,£11.48,Hardback
412,Love,Donna Ashworth,£10.11,Hardback
